source,reference,tamil_script,ai_output,category
"Oru cvanakkamnna doubt, ithu eppidi work aagum?","A small doubt, how does this work?","Oரு சிந்ந தோஉப்த், இது ஏப்பிதி வோர்க் ஆகும்?",,Slang_Replacement
"Oru chinna doubt, ithu eppidi work aagum?","A small doubt, how does this work?","Oரு சிந்ந தோஉப்த், இது ஏப்பிதி வோர்க் ஆகும்?",,Lexical_Loan_Words
"Oru chinna doubt, ithu eppidi work aagum? please","A small doubt, how does this work? (polite)","Oரு சிந்ந தோஉப்த், இது ஏப்பிதி வோர்க் ஆகும்?",,Style_Variation
"Nala sonninga, idu daan unmai","Well said, this is the truth.","ணல்ல ஸோந்நிந்க, இது தாந் உந்மை",,Phonetic_Variation
"Nalla sonninga, ithu thaan unmai","Well said, this is the truth.","ணல்ல ஸோந்நிந்க, இது தாந் உந்மை",,Slang_Replacement
"Nalla sonninga, ithu thaan unmai","Well said, this is the truth.","ணல்ல ஸோந்நிந்க, இது தாந் உந்மை",,Lexical_Loan_Words
"Nalla sonninga, ithu thaan unmai please","Well said, this is the truth. (polite)","ணல்ல ஸோந்நிந்க, இது தாந் உந்மை",,Style_Variation
Jananayagan movie release eppo bro?,"When is the Jananayagan movie release, bro?",ஃஜநநயகந் மோவிஏ ரேலேஅஸே ஏப்போ ப்ரோ?,,Phonetic_Variation
Jananayagan movie release eppo nanba?,"When is the Jananayagan movie release, bro?",ஃஜநநயகந் மோவிஏ ரேலேஅஸே ஏப்போ ப்ரோ?,,Slang_Replacement
Jananayagan movie release eppo bro?,"When is the Jananayagan movie release, bro?",ஃஜநநயகந் மோவிஏ ரேலேஅஸே ஏப்போ ப்ரோ?,,Lexical_Loan_Words
Jananayagan movie release eppo bro? please,"When is the Jananayagan movie release, bro? (polite)",ஃஜநநயகந் மோவிஏ ரேலேஅஸே ஏப்போ ப்ரோ?,,Style_Variation
Supreme Court case 19d ku postpone aayiduchi.,The Supreme Court case has been postponed to the 19th.,ஷுப்ரேமே சோஉர்த் சஸே ௧௯த் கு போஸ்த்போநே ஆயிதுசி।,,Phonetic_Variation
Supreme Court case 19th ku postpone aayiducvanakkam.,The Supreme Court case has been postponed to the 19th.,ஷுப்ரேமே சோஉர்த் சஸே ௧௯த் கு போஸ்த்போநே ஆயிதுசி।,,Slang_Replacement
Supreme Court case 19th ku postpone aayiduchi.,The Supreme Court case has been postponed to the 19th.,ஷுப்ரேமே சோஉர்த் சஸே ௧௯த் கு போஸ்த்போநே ஆயிதுசி।,,Lexical_Loan_Words
Supreme Court case 19th ku postpone aayiduchi. please,The Supreme Court case has been postponed to the 19th. (polite),ஷுப்ரேமே சோஉர்த் சஸே ௧௯த் கு போஸ்த்போநே ஆயிதுசி।,,Style_Variation
Rahul Gandhi tweet vera level!,Rahul Gandhi's tweet is on another level!,றஹுல் ஃக³ந்தி த்வீத் வேர லேவேல்!,,Phonetic_Variation
Rahul Gandvanakkam tweet vera level!,Rahul Gandhi's tweet is on another level!,றஹுல் ஃக³ந்தி த்வீத் வேர லேவேல்!,,Slang_Replacement
Rahul Gandhi tweet super!,Rahul Gandhi's tweet is on another level!,றஹுல் ஃக³ந்தி த்வீத் வேர லேவேல்!,,Lexical_Loan_Words
Rahul Gandhi tweet vera level! please,Rahul Gandhi's tweet is on another level! (polite),றஹுல் ஃக³ந்தி த்வீத் வேர லேவேல்!,,Style_Variation
CBI enquiry la Vijay anna witness ah poyirukanga.,Vijay anna went as a witness for the CBI enquiry.,ச்Bஈ ஏந்ஃ'குஇர்ய் ல Vஇஜய் அந்ந வித்நேஸ்ஸ் அஹ் போயிருகந்க।,,Phonetic_Variation
CBI enquiry la Vijay anna witness ah poyirukanga.,Vijay anna went as a witness for the CBI enquiry.,ச்Bஈ ஏந்ஃ'குஇர்ய் ல Vஇஜய் அந்ந வித்நேஸ்ஸ் அஹ் போயிருகந்க।,,Slang_Replacement
CBI enquiry la Vijay anna witness ah poyirukanga.,Vijay anna went as a witness for the CBI enquiry.,ச்Bஈ ஏந்ஃ'குஇர்ய் ல Vஇஜய் அந்ந வித்நேஸ்ஸ் அஹ் போயிருகந்க।,,Lexical_Loan_Words
CBI enquiry la Vijay anna witness ah poyirukanga. please,Vijay anna went as a witness for the CBI enquiry. (polite),ச்Bஈ ஏந்ஃ'குஇர்ய் ல Vஇஜய் அந்ந வித்நேஸ்ஸ் அஹ் போயிருகந்க।,,Style_Variation
Aliance break aaguma nu elarum keka aarambichtanga.,Everyone has started asking if the alliance will break.,ஆல்லிஅந்சே ப்ரேஅக் ஆகும நு ஏல்லரும் கேக ஆரம்பிச்தந்க।,,Phonetic_Variation
Alliance break aaguma nu ellarum keka aarambichtanga.,Everyone has started asking if the alliance will break.,ஆல்லிஅந்சே ப்ரேஅக் ஆகும நு ஏல்லரும் கேக ஆரம்பிச்தந்க।,,Slang_Replacement
Alliance break aaguma nu ellarum keka aarambichtanga.,Everyone has started asking if the alliance will break.,ஆல்லிஅந்சே ப்ரேஅக் ஆகும நு ஏல்லரும் கேக ஆரம்பிச்தந்க।,,Lexical_Loan_Words
Alliance break aaguma nu ellarum keka aarambichtanga. please,Everyone has started asking if the alliance will break. (polite),ஆல்லிஅந்சே ப்ரேஅக் ஆகும நு ஏல்லரும் கேக ஆரம்பிச்தந்க।,,Style_Variation
Madan Gowri video padu daan update derinjikiten.,I got the update only after watching Madan Gowri's video.,ம்அதந் ஃக³ோவ்ரி விதேஓ பது தாந் உப்ததே தேரிந்ஜிகிதேந்।,,Phonetic_Variation
Madan Gowri video pathu thaan update therinjikiten.,I got the update only after watching Madan Gowri's video.,ம்அதந் ஃக³ோவ்ரி விதேஓ பது தாந் உப்ததே தேரிந்ஜிகிதேந்।,,Slang_Replacement
Madan Gowri video pathu thaan update therinjikiten.,I got the update only after watching Madan Gowri's video.,ம்அதந் ஃக³ோவ்ரி விதேஓ பது தாந் உப்ததே தேரிந்ஜிகிதேந்।,,Lexical_Loan_Words
Madan Gowri video pathu thaan update therinjikiten. please,I got the update only after watching Madan Gowri's video. (polite),ம்அதந் ஃக³ோவ்ரி விதேஓ பது தாந் உப்ததே தேரிந்ஜிகிதேந்।,,Style_Variation
Politics la idhu elam common daan.,This is all common in politics.,Pஓலிதிச்ஸ் ல இது ஏல்லம் சோம்மோந் தாந்।,,Phonetic_Variation
Politics la idhu ellam common thaan.,This is all common in politics.,Pஓலிதிச்ஸ் ல இது ஏல்லம் சோம்மோந் தாந்।,,Slang_Replacement
Politics la idhu ellam common thaan.,This is all common in politics.,Pஓலிதிச்ஸ் ல இது ஏல்லம் சோம்மோந் தாந்।,,Lexical_Loan_Words
Politics la idhu ellam common thaan. please,This is all common in politics. (polite),Pஓலிதிச்ஸ் ல இது ஏல்லம் சோம்மோந் தாந்।,,Style_Variation
Vijay anna party ful form la iruku pola.,It looks like Vijay anna's party is in full form.,Vஇஜய் அந்ந பர்த்ய் ஃபுல்ல் ஃபோர்ம் ல இருகு போல।,,Phonetic_Variation
Vijay anna party full form la iruku pola.,It looks like Vijay anna's party is in full form.,Vஇஜய் அந்ந பர்த்ய் ஃபுல்ல் ஃபோர்ம் ல இருகு போல।,,Slang_Replacement
Vijay anna party full form la iruku pola.,It looks like Vijay anna's party is in full form.,Vஇஜய் அந்ந பர்த்ய் ஃபுல்ல் ஃபோர்ம் ல இருகு போல।,,Lexical_Loan_Words
Vijay anna party full form la iruku pola. please,It looks like Vijay anna's party is in full form. (polite),Vஇஜய் அந்ந பர்த்ய் ஃபுல்ல் ஃபோர்ம் ல இருகு போல।,,Style_Variation
Election results eppo varum nu deriyuma?,Do you know when the election results will come?,Eலேச்திஓந் ரேஸுல்த்ஸ் ஏப்போ வரும் நு தேரியும?,,Phonetic_Variation
Election results eppo varum nu theriyuma?,Do you know when the election results will come?,Eலேச்திஓந் ரேஸுல்த்ஸ் ஏப்போ வரும் நு தேரியும?,,Slang_Replacement
Election results eppo varum nu theriyuma?,Do you know when the election results will come?,Eலேச்திஓந் ரேஸுல்த்ஸ் ஏப்போ வரும் நு தேரியும?,,Lexical_Loan_Words
Election results eppo varum nu theriyuma? please,Do you know when the election results will come? (polite),Eலேச்திஓந் ரேஸுல்த்ஸ் ஏப்போ வரும் நு தேரியும?,,Style_Variation
Inda kootani set aaguma nu papom,Let's see if this alliance works out.,ஈந்த கூதநி ஸேத் ஆகும நு பபோம்,,Phonetic_Variation
Intha kootani set aaguma nu papom,Let's see if this alliance works out.,ஈந்த கூதநி ஸேத் ஆகும நு பபோம்,,Slang_Replacement
Intha kootani set aaguma nu papom,Let's see if this alliance works out.,ஈந்த கூதநி ஸேத் ஆகும நு பபோம்,,Lexical_Loan_Words
Intha kootani set aaguma nu papom please,Let's see if this alliance works out. (polite),ஈந்த கூதநி ஸேத் ஆகும நு பபோம்,,Style_Variation
Police enquiry start pannitangala?,Has the police enquiry started?,Pஓலிசே ஏந்ஃ'குஇர்ய் ஸ்தர்த் பந்நிதந்கல?,,Phonetic_Variation
Police enquiry start pannitangala?,Has the police enquiry started?,Pஓலிசே ஏந்ஃ'குஇர்ய் ஸ்தர்த் பந்நிதந்கல?,,Slang_Replacement
Police enquiry start pannitangala?,Has the police enquiry started?,Pஓலிசே ஏந்ஃ'குஇர்ய் ஸ்தர்த் பந்நிதந்கல?,,Lexical_Loan_Words
Police enquiry start pannitangala? please,Has the police enquiry started? (polite),Pஓலிசே ஏந்ஃ'குஇர்ய் ஸ்தர்த் பந்நிதந்கல?,,Style_Variation
Ivlo naal enga poitinga bro?,"Where did you go all these days, bro?",ஈவ்லோ நால் ஏந்க போஇதிந்க ப்ரோ?,,Phonetic_Variation
Ivlo naal enga poitinga nanba?,"Where did you go all these days, bro?",ஈவ்லோ நால் ஏந்க போஇதிந்க ப்ரோ?,,Slang_Replacement
Ivlo naal enga poitinga bro?,"Where did you go all these days, bro?",ஈவ்லோ நால் ஏந்க போஇதிந்க ப்ரோ?,,Lexical_Loan_Words
Ivlo naal enga poitinga bro? please,"Where did you go all these days, bro? (polite)",ஈவ்லோ நால் ஏந்க போஇதிந்க ப்ரோ?,,Style_Variation
News channel la idu daan odudu,This is what's running on the news channels.,ணேவ்ஸ் சந்நேல் ல இது தாந் ஓதுது,,Phonetic_Variation
News channel la ithu thaan oduthu,This is what's running on the news channels.,ணேவ்ஸ் சந்நேல் ல இது தாந் ஓதுது,,Slang_Replacement
News channel la ithu thaan oduthu,This is what's running on the news channels.,ணேவ்ஸ் சந்நேல் ல இது தாந் ஓதுது,,Lexical_Loan_Words
News channel la ithu thaan oduthu please,This is what's running on the news channels. (polite),ணேவ்ஸ் சந்நேல் ல இது தாந் ஓதுது,,Style_Variation
Public opinion eppidi iruku?,How is the public opinion?,Pஉப்லிச் ஓபிநிஓந் ஏப்பிதி இருகு?,,Phonetic_Variation
Public opinion eppidi iruku?,How is the public opinion?,Pஉப்லிச் ஓபிநிஓந் ஏப்பிதி இருகு?,,Slang_Replacement
Public opinion eppidi iruku?,How is the public opinion?,Pஉப்லிச் ஓபிநிஓந் ஏப்பிதி இருகு?,,Lexical_Loan_Words
Public opinion eppidi iruku? please,How is the public opinion? (polite),Pஉப்லிச் ஓபிநிஓந் ஏப்பிதி இருகு?,,Style_Variation
Trud seekiram veliya varum,The truth will come out soon.,ட்ருத் ஸீகிரம் வேலிய வரும்,,Phonetic_Variation
Truth seekiram veliya varum,The truth will come out soon.,ட்ருத் ஸீகிரம் வேலிய வரும்,,Slang_Replacement
Truth seekiram veliya varum,The truth will come out soon.,ட்ருத் ஸீகிரம் வேலிய வரும்,,Lexical_Loan_Words
Truth seekiram veliya varum please,The truth will come out soon. (polite),ட்ருத் ஸீகிரம் வேலிய வரும்,,Style_Variation
Inniku night 8 maniku live iruka?,Is there a live session tonight at 8 PM?,ஈந்நிகு நிக்த் ௮ மநிகு லிவே இருக?,,Phonetic_Variation
Inniku night 8 maniku live iruka?,Is there a live session tonight at 8 PM?,ஈந்நிகு நிக்த் ௮ மநிகு லிவே இருக?,,Slang_Replacement
Inniku night 8 maniku live iruka?,Is there a live session tonight at 8 PM?,ஈந்நிகு நிக்த் ௮ மநிகு லிவே இருக?,,Lexical_Loan_Words
Inniku night 8 maniku live iruka? please,Is there a live session tonight at 8 PM? (polite),ஈந்நிகு நிக்த் ௮ மநிகு லிவே இருக?,,Style_Variation
Social media la idu daan trend,This is the trend on social media.,ஷோசிஅல் மேதிஅ ல இது தாந் த்ரேந்த்,,Phonetic_Variation
Social media la ithu thaan trend,This is the trend on social media.,ஷோசிஅல் மேதிஅ ல இது தாந் த்ரேந்த்,,Slang_Replacement
Social media la ithu thaan trend,This is the trend on social media.,ஷோசிஅல் மேதிஅ ல இது தாந் த்ரேந்த்,,Lexical_Loan_Words
Social media la ithu thaan trend please,This is the trend on social media. (polite),ஷோசிஅல் மேதிஅ ல இது தாந் த்ரேந்த்,,Style_Variation
Vibe aagudu inda song!,This song gives a good vibe!,Vஇபே ஆகுது இந்த ஸோந்க்!,,Phonetic_Variation
Vibe aaguthu intha song!,This song gives a good vibe!,Vஇபே ஆகுது இந்த ஸோந்க்!,,Slang_Replacement
Vibe aaguthu intha song!,This song gives a good vibe!,Vஇபே ஆகுது இந்த ஸோந்க்!,,Lexical_Loan_Words
Vibe aaguthu intha song! please,This song gives a good vibe! (polite),Vஇபே ஆகுது இந்த ஸோந்க்!,,Style_Variation
Enna bro sudden ah plan change panitinga?,"Why did you change the plan so suddenly, bro?",Eந்ந ப்ரோ ஸுத்தேந் அஹ் ப்லந் சந்கே பநிதிந்க?,,Phonetic_Variation
Enna nanba sudden ah plan change panitinga?,"Why did you change the plan so suddenly, bro?",Eந்ந ப்ரோ ஸுத்தேந் அஹ் ப்லந் சந்கே பநிதிந்க?,,Slang_Replacement
Enna bro sudden ah plan change panitinga?,"Why did you change the plan so suddenly, bro?",Eந்ந ப்ரோ ஸுத்தேந் அஹ் ப்லந் சந்கே பநிதிந்க?,,Lexical_Loan_Words
Enna bro sudden ah plan change panitinga? please,"Why did you change the plan so suddenly, bro? (polite)",Eந்ந ப்ரோ ஸுத்தேந் அஹ் ப்லந் சந்கே பநிதிந்க?,,Style_Variation
Inda update semma mass ah iruku.,This update is really mass.,ஈந்த உப்ததே ஸேம்ம மஸ்ஸ் அஹ் இருகு।,,Phonetic_Variation
Intha update semma mass ah iruku.,This update is really mass.,ஈந்த உப்ததே ஸேம்ம மஸ்ஸ் அஹ் இருகு।,,Slang_Replacement
Intha update semma mass ah iruku.,This update is really mass.,ஈந்த உப்ததே ஸேம்ம மஸ்ஸ் அஹ் இருகு।,,Lexical_Loan_Words
Intha update semma mass ah iruku. please,This update is really mass. (polite),ஈந்த உப்ததே ஸேம்ம மஸ்ஸ் அஹ் இருகு।,,Style_Variation
"Work load romba jasdi, stress ah iruku.","The work load is too much, it's stressful.","Wஓர்க் லோஅத் ரோம்ப ஜஸ்தி, ஸ்த்ரேஸ்ஸ் அஹ் இருகு।",,Phonetic_Variation
"Work load romba jastvanakkam, stress ah iruku.","The work load is too much, it's stressful.","Wஓர்க் லோஅத் ரோம்ப ஜஸ்தி, ஸ்த்ரேஸ்ஸ் அஹ் இருகு।",,Slang_Replacement
"Work load romba jasthi, stress ah iruku.","The work load is too much, it's stressful.","Wஓர்க் லோஅத் ரோம்ப ஜஸ்தி, ஸ்த்ரேஸ்ஸ் அஹ் இருகு।",,Lexical_Loan_Words
"Work load romba jasthi, stress ah iruku. please","The work load is too much, it's stressful. (polite)","Wஓர்க் லோஅத் ரோம்ப ஜஸ்தி, ஸ்த்ரேஸ்ஸ் அஹ் இருகு।",,Style_Variation
Lunch ku enna menu innaiku?,What's the menu for lunch today?,ளுந்ச் கு ஏந்ந மேநு இந்நைகு?,,Phonetic_Variation
Lunch ku enna menu innaiku?,What's the menu for lunch today?,ளுந்ச் கு ஏந்ந மேநு இந்நைகு?,,Slang_Replacement
Lunch ku enna menu innaiku?,What's the menu for lunch today?,ளுந்ச் கு ஏந்ந மேநு இந்நைகு?,,Lexical_Loan_Words
Lunch ku enna menu innaiku? please,What's the menu for lunch today? (polite),ளுந்ச் கு ஏந்ந மேநு இந்நைகு?,,Style_Variation
Tomorrow leave ah bro ungaluku?,"Is tomorrow a holiday for you, bro?",டோமோர்ரோவ் லேஅவே அஹ் ப்ரோ உந்கலுகு?,,Phonetic_Variation
Tomorrow leave ah nanba ungaluku?,"Is tomorrow a holiday for you, bro?",டோமோர்ரோவ் லேஅவே அஹ் ப்ரோ உந்கலுகு?,,Slang_Replacement
Tomorrow leave ah bro ungaluku?,"Is tomorrow a holiday for you, bro?",டோமோர்ரோவ் லேஅவே அஹ் ப்ரோ உந்கலுகு?,,Lexical_Loan_Words
Tomorrow leave ah bro ungaluku? please,"Is tomorrow a holiday for you, bro? (polite)",டோமோர்ரோவ் லேஅவே அஹ் ப்ரோ உந்கலுகு?,,Style_Variation
Inda hotel la food quality nala iruku,The food quality is good in this hotel.,ஈந்த ஹோதேல் ல ஃபூத் ஃ'குஅலித்ய் நல்ல இருகு,,Phonetic_Variation
Intha hotel la food quality nalla iruku,The food quality is good in this hotel.,ஈந்த ஹோதேல் ல ஃபூத் ஃ'குஅலித்ய் நல்ல இருகு,,Slang_Replacement
Intha hotel la food quality nalla iruku,The food quality is good in this hotel.,ஈந்த ஹோதேல் ல ஃபூத் ஃ'குஅலித்ய் நல்ல இருகு,,Lexical_Loan_Words
Intha hotel la food quality nalla iruku please,The food quality is good in this hotel. (polite),ஈந்த ஹோதேல் ல ஃபூத் ஃ'குஅலித்ய் நல்ல இருகு,,Style_Variation
Online orders romba late aagudu,Online orders are getting very late.,Oந்லிநே ஓர்தேர்ஸ் ரோம்ப லதே ஆகுது,,Phonetic_Variation
Online orders romba late aaguthu,Online orders are getting very late.,Oந்லிநே ஓர்தேர்ஸ் ரோம்ப லதே ஆகுது,,Slang_Replacement
Online orders romba late aaguthu,Online orders are getting very late.,Oந்லிநே ஓர்தேர்ஸ் ரோம்ப லதே ஆகுது,,Lexical_Loan_Words
Online orders romba late aaguthu please,Online orders are getting very late. (polite),Oந்லிநே ஓர்தேர்ஸ் ரோம்ப லதே ஆகுது,,Style_Variation
Google maps la route wrong ah kaatudu,Google Maps is showing the wrong route.,ஃக³ூக்லே மப்ஸ் ல ரோஉதே வ்ரோந்க் அஹ் காதுது,,Phonetic_Variation
Google maps la route wrong ah kaatuthu,Google Maps is showing the wrong route.,ஃக³ூக்லே மப்ஸ் ல ரோஉதே வ்ரோந்க் அஹ் காதுது,,Slang_Replacement
Google maps la route wrong ah kaatuthu,Google Maps is showing the wrong route.,ஃக³ூக்லே மப்ஸ் ல ரோஉதே வ்ரோந்க் அஹ் காதுது,,Lexical_Loan_Words
Google maps la route wrong ah kaatuthu please,Google Maps is showing the wrong route. (polite),ஃக³ூக்லே மப்ஸ் ல ரோஉதே வ்ரோந்க் அஹ் காதுது,,Style_Variation
Enaku konjam help panna mudiyuma?,Can you help me a bit?,Eநகு கோந்ஜம் ஹேல்ப் பந்ந முதியும?,,Phonetic_Variation
Enaku konjam help panna mudiyuma?,Can you help me a bit?,Eநகு கோந்ஜம் ஹேல்ப் பந்ந முதியும?,,Slang_Replacement
Enaku konjam help panna mudiyuma?,Can you help me a bit?,Eநகு கோந்ஜம் ஹேல்ப் பந்ந முதியும?,,Lexical_Loan_Words
Enaku konjam help panna mudiyuma? please,Can you help me a bit? (polite),Eநகு கோந்ஜம் ஹேல்ப் பந்ந முதியும?,,Style_Variation
Inda project work mudika innum 2 days aagum.,It will take 2 more days to finish this project work.,ஈந்த ப்ரோஜேச்த் வோர்க் முதிக இந்நும் ௨ தய்ஸ் ஆகும்।,,Phonetic_Variation
Intha project work mudika innum 2 days aagum.,It will take 2 more days to finish this project work.,ஈந்த ப்ரோஜேச்த் வோர்க் முதிக இந்நும் ௨ தய்ஸ் ஆகும்।,,Slang_Replacement
Intha project work mudika innum 2 days aagum.,It will take 2 more days to finish this project work.,ஈந்த ப்ரோஜேச்த் வோர்க் முதிக இந்நும் ௨ தய்ஸ் ஆகும்।,,Lexical_Loan_Words
Intha project work mudika innum 2 days aagum. please,It will take 2 more days to finish this project work. (polite),ஈந்த ப்ரோஜேச்த் வோர்க் முதிக இந்நும் ௨ தய்ஸ் ஆகும்।,,Style_Variation
"Bike service ku vuturuken, evening daan kidaikum.","I have left my bike for service, I will get it only in the evening.","Bஇகே ஸேர்விசே கு வுதுருகேந், ஏவேநிந்க் தாந் கிதைகும்।",,Phonetic_Variation
"Bike service ku vuturuken, evening thaan kidaikum.","I have left my bike for service, I will get it only in the evening.","Bஇகே ஸேர்விசே கு வுதுருகேந், ஏவேநிந்க் தாந் கிதைகும்।",,Slang_Replacement
"Bike service ku vuturuken, evening thaan kidaikum.","I have left my bike for service, I will get it only in the evening.","Bஇகே ஸேர்விசே கு வுதுருகேந், ஏவேநிந்க் தாந் கிதைகும்।",,Lexical_Loan_Words
"Bike service ku vuturuken, evening thaan kidaikum. please","I have left my bike for service, I will get it only in the evening. (polite)","Bஇகே ஸேர்விசே கு வுதுருகேந், ஏவேநிந்க் தாந் கிதைகும்।",,Style_Variation
Inda project work mudika innum 2 days aagum.,It will take 2 more days to finish this project work.,ஈந்த ப்ரோஜேச்த் வோர்க் முதிக இந்நும் ௨ தய்ஸ் ஆகும்।,,Phonetic_Variation
Intha project work mudika innum 2 days aagum.,It will take 2 more days to finish this project work.,ஈந்த ப்ரோஜேச்த் வோர்க் முதிக இந்நும் ௨ தய்ஸ் ஆகும்।,,Slang_Replacement
Intha project work mudika innum 2 days aagum.,It will take 2 more days to finish this project work.,ஈந்த ப்ரோஜேச்த் வோர்க் முதிக இந்நும் ௨ தய்ஸ் ஆகும்।,,Lexical_Loan_Words
Intha project work mudika innum 2 days aagum. please,It will take 2 more days to finish this project work. (polite),ஈந்த ப்ரோஜேச்த் வோர்க் முதிக இந்நும் ௨ தய்ஸ் ஆகும்।,,Style_Variation
"Bike service ku vuturuken, evening daan kidaikum.","I have left my bike for service, I will get it only in the evening.","Bஇகே ஸேர்விசே கு வுதுருகேந், ஏவேநிந்க் தாந் கிதைகும்।",,Phonetic_Variation
"Bike service ku vuturuken, evening thaan kidaikum.","I have left my bike for service, I will get it only in the evening.","Bஇகே ஸேர்விசே கு வுதுருகேந், ஏவேநிந்க் தாந் கிதைகும்।",,Slang_Replacement
"Bike service ku vuturuken, evening thaan kidaikum.","I have left my bike for service, I will get it only in the evening.","Bஇகே ஸேர்விசே கு வுதுருகேந், ஏவேநிந்க் தாந் கிதைகும்।",,Lexical_Loan_Words
"Bike service ku vuturuken, evening thaan kidaikum. please","I have left my bike for service, I will get it only in the evening. (polite)","Bஇகே ஸேர்விசே கு வுதுருகேந், ஏவேநிந்க் தாந் கிதைகும்।",,Style_Variation
"Current cut aayiduchi, fan kuda odala.","The power went out, even the fan isn't working.","சுர்ரேந்த் சுத் ஆயிதுசி, ஃபந் குத ஓதல।",,Phonetic_Variation
"Current cut aayiducvanakkam, fan kuda odala.","The power went out, even the fan isn't working.","சுர்ரேந்த் சுத் ஆயிதுசி, ஃபந் குத ஓதல।",,Slang_Replacement
"Current cut aayiduchi, fan kuda odala.","The power went out, even the fan isn't working.","சுர்ரேந்த் சுத் ஆயிதுசி, ஃபந் குத ஓதல।",,Lexical_Loan_Words
"Current cut aayiduchi, fan kuda odala. please","The power went out, even the fan isn't working. (polite)","சுர்ரேந்த் சுத் ஆயிதுசி, ஃபந் குத ஓதல।",,Style_Variation
"Inniku office la romba tension, manager dittite irukaru.","Too much tension at the office today, the manager keeps scolding.","ஈந்நிகு ஓஃப்ஃபிசே ல ரோம்ப தேந்ஸிஓந், மநகேர் தித்திதே இருகரு।",,Phonetic_Variation
"Inniku office la romba tension, manager tvanakkamttite irukaru.","Too much tension at the office today, the manager keeps scolding.","ஈந்நிகு ஓஃப்ஃபிசே ல ரோம்ப தேந்ஸிஓந், மநகேர் தித்திதே இருகரு।",,Slang_Replacement
"Inniku office la romba angry, manager thittite irukaru.","Too much tension at the office today, the manager keeps scolding.","ஈந்நிகு ஓஃப்ஃபிசே ல ரோம்ப தேந்ஸிஓந், மநகேர் தித்திதே இருகரு।",,Lexical_Loan_Words
"Inniku office la romba tension, manager thittite irukaru. please","Too much tension at the office today, the manager keeps scolding. (polite)","ஈந்நிகு ஓஃப்ஃபிசே ல ரோம்ப தேந்ஸிஓந், மநகேர் தித்திதே இருகரு।",,Style_Variation
"Amazon prime la pudu movie vanduruku, paadiya?","A new movie has come out on Amazon Prime, did you watch it?","ஆமஃஜோந் ப்ரிமே ல புது மோவிஏ வந்துருகு, பாதிய?",,Phonetic_Variation
"Amazon prime la puthu movie vanthuruku, paatvanakkamya?","A new movie has come out on Amazon Prime, did you watch it?","ஆமஃஜோந் ப்ரிமே ல புது மோவிஏ வந்துருகு, பாதிய?",,Slang_Replacement
"Amazon prime la puthu movie vanthuruku, paathiya?","A new movie has come out on Amazon Prime, did you watch it?","ஆமஃஜோந் ப்ரிமே ல புது மோவிஏ வந்துருகு, பாதிய?",,Lexical_Loan_Words
"Amazon prime la puthu movie vanthuruku, paathiya? please","A new movie has come out on Amazon Prime, did you watch it? (polite)","ஆமஃஜோந் ப்ரிமே ல புது மோவிஏ வந்துருகு, பாதிய?",,Style_Variation
"Signal kidaikala, voice break aagudu.","I'm not getting signal, your voice is breaking.","ஷிக்நல் கிதைகல, வோஇசே ப்ரேஅக் ஆகுது।",,Phonetic_Variation
"Signal kidaikala, voice break aaguthu.","I'm not getting signal, your voice is breaking.","ஷிக்நல் கிதைகல, வோஇசே ப்ரேஅக் ஆகுது।",,Slang_Replacement
"Signal kidaikala, voice break aaguthu.","I'm not getting signal, your voice is breaking.","ஷிக்நல் கிதைகல, வோஇசே ப்ரேஅக் ஆகுது।",,Lexical_Loan_Words
"Signal kidaikala, voice break aaguthu. please","I'm not getting signal, your voice is breaking. (polite)","ஷிக்நல் கிதைகல, வோஇசே ப்ரேஅக் ஆகுது।",,Style_Variation
Meeting eppo start aagum nu notification varala.,I didn't get a notification about when the meeting starts.,ம்ஈதிந்க் ஏப்போ ஸ்தர்த் ஆகும் நு நோதிஃபிசதிஓந் வரல।,,Phonetic_Variation
Meeting eppo start aagum nu notification varala.,I didn't get a notification about when the meeting starts.,ம்ஈதிந்க் ஏப்போ ஸ்தர்த் ஆகும் நு நோதிஃபிசதிஓந் வரல।,,Slang_Replacement
Meeting eppo start aagum nu notification varala.,I didn't get a notification about when the meeting starts.,ம்ஈதிந்க் ஏப்போ ஸ்தர்த் ஆகும் நு நோதிஃபிசதிஓந் வரல।,,Lexical_Loan_Words
Meeting eppo start aagum nu notification varala. please,I didn't get a notification about when the meeting starts. (polite),ம்ஈதிந்க் ஏப்போ ஸ்தர்த் ஆகும் நு நோதிஃபிசதிஓந் வரல।,,Style_Variation
Oru nala laptop suggest pannunga bro.,"Please suggest a good laptop, bro.",Oரு நல்ல லப்தோப் ஸுக்கேஸ்த் பந்நுந்க ப்ரோ।,,Phonetic_Variation
Oru nalla laptop suggest pannunga nanba.,"Please suggest a good laptop, bro.",Oரு நல்ல லப்தோப் ஸுக்கேஸ்த் பந்நுந்க ப்ரோ।,,Slang_Replacement
Oru nalla laptop suggest pannunga bro.,"Please suggest a good laptop, bro.",Oரு நல்ல லப்தோப் ஸுக்கேஸ்த் பந்நுந்க ப்ரோ।,,Lexical_Loan_Words
Oru nalla laptop suggest pannunga bro. please,"Please suggest a good laptop, bro. (polite)",Oரு நல்ல லப்தோப் ஸுக்கேஸ்த் பந்நுந்க ப்ரோ।,,Style_Variation
Inda dress unaku nala suit aagudu.,This dress suits you well.,ஈந்த த்ரேஸ்ஸ் உநகு நல்ல ஸுஇத் ஆகுது।,,Phonetic_Variation
